Name,Rating,Number of Ratings,Price,Winery,Alcohol content,Bold,Tannin,Sweet,Acidic,Country_Region,Goat cheese,Blue cheese,"Rich fish (salmon, tuna etc)",Appetizers and snacks,Lean fish,Poultry,Sweet desserts,Veal,Aperitif,Beef,Spicy food,Cured Meat,Fruity desserts,Vegetarian,Lamb,Mushrooms,Pasta,Mild and soft cheese,Shellfish,"Game (deer, venison)",Mature and hard cheese,Pork
Shotfire GSM 2018,3.9,36,19.49,Thorn-Clarke,14.5,85.0,50.63,9.05,43.0,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Passion has Red Lips 2014,3.8,648,18.49,Some Young Punks,14.5,85.0,49.37,8.19,44.78,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Jester Shiraz 2018,3.9,658,22.0,Mitolo,14.5,85.0,46.65,19.07,44.18,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Shotfire Quartage 2016,3.8,93,17.99,Thorn-Clarke,14.5,85.0,56.4,10.85,65.28,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Stonehorse Shiraz 2018,4.0,288,29.17,Kaesler,14.0,84.04,44.21,22.1,41.95,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Jester Shiraz 2017,3.8,883,16.99,Mitolo,14.5,85.0,46.65,19.07,44.18,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Girt By Sea Cabernet - Merlot 2012,3.8,243,33.47,Voyager Estate,13.8,83.22,53.62,5.3,61.61,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Max's Shiraz - Cabernet 2019,4.0,561,21.99,Penfolds,14.5,85.0,47.68,8.05,44.07,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Formula Robert's Shiraz 2017,3.9,225,15.99,Small Gully,15.9,85.0,43.67,19.47,42.11,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Angels' Share Shiraz 2020,3.9,1803,26.99,Two Hands,14.2,85.0,45.84,20.08,44.14,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Chocolate Factory Shiraz 2019,4.0,86,21.49,Zonte's Footstep,14.5,85.0,46.07,16.96,44.91,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Filius Chardonnay 2018,3.8,541,20.89,Vasse Felix,13.0,53.1818,46.29526972,9.05,53.555,Western Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Red Silk Shiraz 2016,3.8,111,18.99,Oliverhill,15.0,85.0,47.14,20.18,42.58,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Stump Jump White Blend 2016,3.9,257,11.99,d'Arenberg,11.0,44.259,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Killerman's Run Shiraz 2018,3.8,1141,22.83,Kilikanoon,14.5,85.0,46.77,20.1,43.79,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Entity Shiraz 2019,4.2,280,34.94,John Duval,14.5,84.27,45.34,21.84,43.32,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Catapult Shiraz 2016,3.8,420,19.99,Wirra Wirra,14.5,84.33,48.52,18.5,44.97,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Scooter Merlot 2014,4.0,463,27.99,Mollydooker,15.0,68.86,19.81,10.28,10.47,South Australia,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Traditionale Riesling 2019,3.8,307,23.74,Pikes,11.0,41.9521,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
The Stump Jump White Blend 2017,3.9,1037,11.99,d'Arenberg,12.5,44.259,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Bin 51 Riesling 2017,3.8,298,42.99,Penfolds,12.5,42.4737,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Valley Floor Shiraz 2017,4.1,1288,30.0,Langmeil,14.5,85.0,45.86,20.32,43.07,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Sparkling Shiraz 2016,3.9,153,16.31,Schild Estate,13.5,61.73,46.29526972,9.05,53.555,South Australia,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
The Lodge Hill Shiraz 2015,3.8,696,19.99,Jim Barry,14.0,85.0,47.6,18.03,45.43,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Filius Cabernet Sauvignon 2019,3.9,545,21.84,Vasse Felix,14.0,65.28,55.53,3.75,54.46,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
d'Arry's Original Shiraz - Grenache 2018,3.8,306,17.09,d'Arenberg,14.5,85.0,49.39,8.55,45.15,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
The Menzies Cabernet Sauvignon 2013,4.0,269,39.89,Yalumba,14.0,66.81,55.92,11.51,51.89,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Stonehorse Grenache - Shiraz (Mourvèdre) 2017,3.8,353,29.17,Kaesler,14.0,85.0,44.95,11.81,44.18,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Little Yering Shiraz 2016,3.8,84,20.0,Yering Station,14.3,85.0,50.31,22.19,42.83,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Shiraz 2019,3.8,37,22.9,Ben Haines,13.5,81.6,52.63,4.19,55.29,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
